Column 1,Column 2
2.79936e-06,0.0
3.36707e-06,100.0
4.0096e-06,200.0
4.72725e-06,300.0
5.51788e-06,400.0
6.37665e-06,500.0
7.29576e-06,600.0
8.26429e-06,700.0
9.26825e-06,800.0
1.02907e-05,900.0
1.13123e-05,1000.0
1.23116e-05,1100.0
1.32659e-05,1200.0
1.41519e-05,1300.0
1.49468e-05,1400.0
1.56293e-05,1500.0
1.61803e-05,1600.0
1.65841e-05,1700.0
1.68289e-05,1800.0
1.69073e-05,1900.0
1.68171e-05,2000.0
1.6561e-05,2100.0
1.61464e-05,2200.0
1.55856e-05,2300.0
1.48946e-05,2400.0
1.40926e-05,2500.0
1.32011e-05,2600.0
1.22429e-05,2700.0
1.12414e-05,2800.0
1.0219e-05,2900.0
9.19722e-06,3000.0
8.19522e-06,3100.0
7.22973e-06,3200.0
6.31452e-06,3300.0
5.46029e-06,3400.0
4.67464e-06,3500.0
3.96221e-06,3600.0
3.32495e-06,3700.0
2.76241e-06,3800.0
2.27221e-06,3900.0
1.8504e-06,4000.0
1.49191e-06,4100.0
1.19089e-06,4200.0
9.41158e-07,4300.0
7.36391e-07,4400.0
5.70442e-07,4500.0
4.37493e-07,4600.0
3.32192e-07,4700.0
2.49725e-07,4800.0
1.85863e-07,4900.0
1.36956e-07,5000.0
9.99143e-08,5100.0
7.21656e-08,5200.0
5.16047e-08,5300.0
3.65348e-08,5400.0
2.56082e-08,5500.0
1.77709e-08,5600.0
1.22095e-08,5700.0
8.30506e-09,5800.0
5.593e-09,5900.0
3.7291e-09,6000.0
2.46161e-09,6100.0
1.60876e-09,6200.0
1.04093e-09,6300.0
6.66822e-10,6400.0
4.22916e-10,6500.0
2.65555e-10,6600.0
1.65087e-10,6700.0
1.01608e-10,6800.0
